recording_id,participant_id,sentence_id,sentence_text,sentiment,dataset_split,duration_seconds,audio_path,created_at
4a3c20c6-1ca8-4fa2-a6d2-8d3270cd7f30,ae50e042-0578-4dd9-8687-48100cae56dd,4547331b-6a8e-403b-8f0c-f71abb71781a,"Let me know when you are ready.",NEGATIVE,validation,3.89,validation/NEGATIVE/Egi_20260920_221949/4a3c20c6-1ca8-4fa2-a6d2-8d3270cd7f30.m4a,2026-09-20T20:23:10.346185+00:00
89302068-9b32-4ba7-bbf0-c46a75e99a5e,ae50e042-0578-4dd9-8687-48100cae56dd,64e403c0-1c39-4aaa-bda3-91e05e8bd7fc,"I will be there in ten minutes.",POSITIVE,validation,3.44,validation/POSITIVE/Egi_20260920_221949/89302068-9b32-4ba7-bbf0-c46a75e99a5e.m4a,2026-09-20T20:23:01.774107+00:00
36c90a16-11e4-454c-b457-fd422996fefb,ae50e042-0578-4dd9-8687-48100cae56dd,2cd831eb-1237-4064-9382-e1b269fc210b,"That worked out better than I hoped.",NEGATIVE,validation,4.03,validation/NEGATIVE/Egi_20260920_221949/36c90a16-11e4-454c-b457-fd422996fefb.m4a,2026-09-20T20:22:54.253471+00:00
b69173aa-b9e0-4f90-89ac-29f620d9e6e2,ae50e042-0578-4dd9-8687-48100cae56dd,5beb1685-bc33-40f2-a7bd-8907925bc6cd,"Honestly, I expected more.",POSITIVE,validation,3.97,validation/POSITIVE/Egi_20260920_221949/b69173aa-b9e0-4f90-89ac-29f620d9e6e2.m4a,2026-09-20T20:22:44.134747+00:00
c2a847cd-721b-45a5-8529-975e1531885a,ae50e042-0578-4dd9-8687-48100cae56dd,6615aa6e-c558-4717-8b99-031cd3413203,"Could you repeat that, please?",NEUTRAL,validation,3.16,validation/NEUTRAL/Egi_20260920_221949/c2a847cd-721b-45a5-8529-975e1531885a.m4a,2026-09-20T20:22:35.879025+00:00
58505e6c-6a4c-4fae-a48b-0def289d652e,ae50e042-0578-4dd9-8687-48100cae56dd,d94b4ec3-3756-4f26-a052-6c12aa719b82,"Nothing ever goes as planned.",POSITIVE,validation,4.37,validation/POSITIVE/Egi_20260920_221949/58505e6c-6a4c-4fae-a48b-0def289d652e.m4a,2026-09-20T20:22:28.047656+00:00
2bd08ae7-92f7-48be-b13a-9099d12deae2,ae50e042-0578-4dd9-8687-48100cae56dd,8d95f679-42eb-4350-8d6e-42d54647b052,"Thanks for helping me.",NEUTRAL,validation,3.45,validation/NEUTRAL/Egi_20260920_221949/2bd08ae7-92f7-48be-b13a-9099d12deae2.m4a,2026-09-20T20:22:19.104146+00:00
39390553-f318-435a-b46b-9ad288bba5a9,ae50e042-0578-4dd9-8687-48100cae56dd,70d8169e-8995-48b4-99ce-9f0b0ec5732e,"Do you mind if I ask something?",NEGATIVE,validation,5.06,validation/NEGATIVE/Egi_20260920_221949/39390553-f318-435a-b46b-9ad288bba5a9.m4a,2026-09-20T20:22:11.695954+00:00
999a0526-77de-41c3-963a-c2c17de83895,ae50e042-0578-4dd9-8687-48100cae56dd,fec584a5-9e28-4989-8fec-35afafee40e0,"I didn't expect that.",POSITIVE,validation,3.34,validation/POSITIVE/Egi_20260920_221949/999a0526-77de-41c3-963a-c2c17de83895.m4a,2026-09-20T20:22:00.025539+00:00
73b9ca1d-0476-4c63-b1a4-63ee013e8733,ae50e042-0578-4dd9-8687-48100cae56dd,bc9329da-e6cf-42db-84c4-e004173d7a7c,"Why did nobody tell me?",NEGATIVE,validation,5.19,validation/NEGATIVE/Egi_20260920_221949/73b9ca1d-0476-4c63-b1a4-63ee013e8733.m4a,2026-09-20T20:21:51.941532+00:00
