clip_id,path,speaker_id,source,text,text_sentiment,prosody_sentiment,emotion_tag,voice_id,is_congruent,split
e2_positive_0_positive_skylar,data/synthetic/e2_positive_0_positive_skylar.wav,cartesia_skylar,synthetic,I'm thrilled about the good news today.,positive,positive,content,db6b0ed5-d5d3-463d-ae85-518a07d3c2b4,True,
e2_positive_0_positive_daniel,data/synthetic/e2_positive_0_positive_daniel.wav,cartesia_daniel,synthetic,I'm thrilled about the good news today.,positive,positive,content,47c38ca4-5f35-497b-b1a3-415245fb35e1,True,
e2_positive_0_neutral_skylar,data/synthetic/e2_positive_0_neutral_skylar.wav,cartesia_skylar,synthetic,I'm thrilled about the good news today.,positive,neutral,neutral,db6b0ed5-d5d3-463d-ae85-518a07d3c2b4,False,
e2_positive_0_neutral_daniel,data/synthetic/e2_positive_0_neutral_daniel.wav,cartesia_daniel,synthetic,I'm thrilled about the good news today.,positive,neutral,neutral,47c38ca4-5f35-497b-b1a3-415245fb35e1,False,
e2_positive_0_negative_skylar,data/synthetic/e2_positive_0_negative_skylar.wav,cartesia_skylar,synthetic,I'm thrilled about the good news today.,positive,negative,angry,db6b0ed5-d5d3-463d-ae85-518a07d3c2b4,False,
e2_positive_0_negative_daniel,data/synthetic/e2_positive_0_negative_daniel.wav,cartesia_daniel,synthetic,I'm thrilled about the good news today.,positive,negative,angry,47c38ca4-5f35-497b-b1a3-415245fb35e1,False,
e2_positive_1_positive_skylar,data/synthetic/e2_positive_1_positive_skylar.wav,cartesia_skylar,synthetic,This turned out to be the best day of my life.,positive,positive,content,db6b0ed5-d5d3-463d-ae85-518a07d3c2b4,True,
e2_positive_1_positive_daniel,data/synthetic/e2_positive_1_positive_daniel.wav,cartesia_daniel,synthetic,This turned out to be the best day of my life.,positive,positive,content,47c38ca4-5f35-497b-b1a3-415245fb35e1,True,
e2_positive_1_neutral_skylar,data/synthetic/e2_positive_1_neutral_skylar.wav,cartesia_skylar,synthetic,This turned out to be the best day of my life.,positive,neutral,neutral,db6b0ed5-d5d3-463d-ae85-518a07d3c2b4,False,
e2_positive_1_neutral_daniel,data/synthetic/e2_positive_1_neutral_daniel.wav,cartesia_daniel,synthetic,This turned out to be the best day of my life.,positive,neutral,neutral,47c38ca4-5f35-497b-b1a3-415245fb35e1,False,
e2_positive_1_negative_skylar,data/synthetic/e2_positive_1_negative_skylar.wav,cartesia_skylar,synthetic,This turned out to be the best day of my life.,positive,negative,angry,db6b0ed5-d5d3-463d-ae85-518a07d3c2b4,False,
e2_positive_1_negative_daniel,data/synthetic/e2_positive_1_negative_daniel.wav,cartesia_daniel,synthetic,This turned out to be the best day of my life.,positive,negative,angry,47c38ca4-5f35-497b-b1a3-415245fb35e1,False,
e2_positive_2_positive_skylar,data/synthetic/e2_positive_2_positive_skylar.wav,cartesia_skylar,synthetic,I really appreciate everything you've done for me.,positive,positive,content,db6b0ed5-d5d3-463d-ae85-518a07d3c2b4,True,
e2_positive_2_positive_daniel,data/synthetic/e2_positive_2_positive_daniel.wav,cartesia_daniel,synthetic,I really appreciate everything you've done for me.,positive,positive,content,47c38ca4-5f35-497b-b1a3-415245fb35e1,True,
e2_positive_2_neutral_skylar,data/synthetic/e2_positive_2_neutral_skylar.wav,cartesia_skylar,synthetic,I really appreciate everything you've done for me.,positive,neutral,neutral,db6b0ed5-d5d3-463d-ae85-518a07d3c2b4,False,
e2_positive_2_neutral_daniel,data/synthetic/e2_positive_2_neutral_daniel.wav,cartesia_daniel,synthetic,I really appreciate everything you've done for me.,positive,neutral,neutral,47c38ca4-5f35-497b-b1a3-415245fb35e1,False,
e2_positive_2_negative_skylar,data/synthetic/e2_positive_2_negative_skylar.wav,cartesia_skylar,synthetic,I really appreciate everything you've done for me.,positive,negative,angry,db6b0ed5-d5d3-463d-ae85-518a07d3c2b4,False,
e2_positive_2_negative_daniel,data/synthetic/e2_positive_2_negative_daniel.wav,cartesia_daniel,synthetic,I really appreciate everything you've done for me.,positive,negative,angry,47c38ca4-5f35-497b-b1a3-415245fb35e1,False,
e2_positive_3_positive_skylar,data/synthetic/e2_positive_3_positive_skylar.wav,cartesia_skylar,synthetic,What a wonderful surprise this has been.,positive,positive,content,db6b0ed5-d5d3-463d-ae85-518a07d3c2b4,True,
e2_positive_3_positive_daniel,data/synthetic/e2_positive_3_positive_daniel.wav,cartesia_daniel,synthetic,What a wonderful surprise this has been.,positive,positive,content,47c38ca4-5f35-497b-b1a3-415245fb35e1,True,
e2_positive_3_neutral_skylar,data/synthetic/e2_positive_3_neutral_skylar.wav,cartesia_skylar,synthetic,What a wonderful surprise this has been.,positive,neutral,neutral,db6b0ed5-d5d3-463d-ae85-518a07d3c2b4,False,
e2_positive_3_neutral_daniel,data/synthetic/e2_positive_3_neutral_daniel.wav,cartesia_daniel,synthetic,What a wonderful surprise this has been.,positive,neutral,neutral,47c38ca4-5f35-497b-b1a3-415245fb35e1,False,
e2_positive_3_negative_skylar,data/synthetic/e2_positive_3_negative_skylar.wav,cartesia_skylar,synthetic,What a wonderful surprise this has been.,positive,negative,angry,db6b0ed5-d5d3-463d-ae85-518a07d3c2b4,False,
e2_positive_3_negative_daniel,data/synthetic/e2_positive_3_negative_daniel.wav,cartesia_daniel,synthetic,What a wonderful surprise this has been.,positive,negative,angry,47c38ca4-5f35-497b-b1a3-415245fb35e1,False,
e2_positive_4_positive_skylar,data/synthetic/e2_positive_4_positive_skylar.wav,cartesia_skylar,synthetic,I'm so proud of how this all turned out.,positive,positive,content,db6b0ed5-d5d3-463d-ae85-518a07d3c2b4,True,
e2_positive_4_positive_daniel,data/synthetic/e2_positive_4_positive_daniel.wav,cartesia_daniel,synthetic,I'm so proud of how this all turned out.,positive,positive,content,47c38ca4-5f35-497b-b1a3-415245fb35e1,True,
e2_positive_4_neutral_skylar,data/synthetic/e2_positive_4_neutral_skylar.wav,cartesia_skylar,synthetic,I'm so proud of how this all turned out.,positive,neutral,neutral,db6b0ed5-d5d3-463d-ae85-518a07d3c2b4,False,
e2_positive_4_neutral_daniel,data/synthetic/e2_positive_4_neutral_daniel.wav,cartesia_daniel,synthetic,I'm so proud of how this all turned out.,positive,neutral,neutral,47c38ca4-5f35-497b-b1a3-415245fb35e1,False,
e2_positive_4_negative_skylar,data/synthetic/e2_positive_4_negative_skylar.wav,cartesia_skylar,synthetic,I'm so proud of how this all turned out.,positive,negative,angry,db6b0ed5-d5d3-463d-ae85-518a07d3c2b4,False,
e2_positive_4_negative_daniel,data/synthetic/e2_positive_4_negative_daniel.wav,cartesia_daniel,synthetic,I'm so proud of how this all turned out.,positive,negative,angry,47c38ca4-5f35-497b-b1a3-415245fb35e1,False,
e2_neutral_0_positive_skylar,data/synthetic/e2_neutral_0_positive_skylar.wav,cartesia_skylar,synthetic,The meeting is scheduled for three o'clock.,neutral,positive,content,db6b0ed5-d5d3-463d-ae85-518a07d3c2b4,False,
e2_neutral_0_positive_daniel,data/synthetic/e2_neutral_0_positive_daniel.wav,cartesia_daniel,synthetic,The meeting is scheduled for three o'clock.,neutral,positive,content,47c38ca4-5f35-497b-b1a3-415245fb35e1,False,
e2_neutral_0_neutral_skylar,data/synthetic/e2_neutral_0_neutral_skylar.wav,cartesia_skylar,synthetic,The meeting is scheduled for three o'clock.,neutral,neutral,neutral,db6b0ed5-d5d3-463d-ae85-518a07d3c2b4,True,
e2_neutral_0_neutral_daniel,data/synthetic/e2_neutral_0_neutral_daniel.wav,cartesia_daniel,synthetic,The meeting is scheduled for three o'clock.,neutral,neutral,neutral,47c38ca4-5f35-497b-b1a3-415245fb35e1,True,
e2_neutral_0_negative_skylar,data/synthetic/e2_neutral_0_negative_skylar.wav,cartesia_skylar,synthetic,The meeting is scheduled for three o'clock.,neutral,negative,angry,db6b0ed5-d5d3-463d-ae85-518a07d3c2b4,False,
