take,clip_id,carrier,intended,text_sentiment,f0_mean,f0_std,f0_range,egemaps_loudness,egemaps_hnr,egemaps_jitter,egemaps_shimmer_db,rms,speech_rate_cps,permissive_predicted_sentiment,permissive_valence_proxy,research_valence,research_arousal
e3a,e3a_speaker1_positive_0_negative,I'm thrilled about the good news today.,negative,positive,106.12278173120397,13.14367038289924,60.73205806967076,0.47501128911972046,4.681419849395752,0.018377697095274925,1.068270206451416,0.10061941434660801,7.364743650269097,negative,-0.9999999958693402,0.4373804032802582,0.20694318413734436
e3a,e3a_speaker1_positive_0_neutral,I'm thrilled about the good news today.,neutral,positive,102.82946464787595,13.08048067458214,56.90411533946141,0.735832929611206,4.880504131317139,0.0210663340985775,1.123253583908081,0.1422339073166432,12.915511031999007,negative,-0.9998525910195895,0.5292679667472839,0.1786680817604065
e3a,e3a_speaker1_positive_0_positive,I'm thrilled about the good news today.,positive,positive,120.56853005241338,36.81545298416469,170.31386706593435,0.8805808424949646,5.360325813293457,0.0164504237473011,1.071325421333313,0.1489249276888873,14.551560095144817,negative,-0.9999982774261866,0.6993457674980164,0.38728541135787964
e3a,e3a_speaker1_positive_1_negative,This turned out to be the best day of my life.,negative,positive,95.01636245416636,10.758282562849155,49.483249411880976,0.755979597568512,4.207230567932129,0.017487861216068268,1.0187873840332031,0.129004201035983,14.097996398881353,negative,-0.9999999999934828,0.48413753509521484,0.17861349880695343
e3a,e3a_speaker1_positive_1_neutral,This turned out to be the best day of my life.,neutral,positive,102.97409016605582,35.731013565478996,288.7896102115509,0.8862075805664062,4.164419174194336,0.020129188895225525,1.1064380407333374,0.15296663594822915,13.268911805004686,negative,-0.9872109997086227,0.4328809380531311,0.21856069564819336
e3a,e3a_speaker1_positive_1_positive,This turned out to be the best day of my life.,positive,positive,114.43274444808321,24.044765866246514,105.61970856949654,0.5969796180725098,4.064115524291992,0.03743121027946472,1.3074997663497925,0.10063041252651751,12.049376248321927,negative,-0.9999998031114927,0.4997851252555847,0.3741334080696106
e3a,e3a_speaker1_positive_2_negative,I really appreciate everything you've done for me.,negative,positive,98.35398470199007,14.132443142034589,49.56823962462667,0.6469075679779053,4.476622104644775,0.01633450761437416,1.0883764028549194,0.12983697138306063,17.729710562475066,negative,-1.0,0.5672630071640015,0.2939140200614929
e3a,e3a_speaker1_positive_2_neutral,I really appreciate everything you've done for me.,neutral,positive,106.24857879041303,48.350264936682294,387.80422280775593,0.5141385793685913,4.13355016708374,0.013235796242952347,1.0974375009536743,0.11897725038246523,9.290010915762826,negative,-1.0,0.5013052821159363,0.221993088722229
e3a,e3a_speaker1_positive_2_positive,I really appreciate everything you've done for me.,positive,positive,125.32726374624873,39.44230010552631,378.3098342672256,0.745891809463501,4.747709274291992,0.03346138820052147,1.019757866859436,0.1366396116978533,13.4707348285849,negative,-0.9998641359925386,0.6090928316116333,0.45282217860221863
e3a,e3a_speaker1_neutral_0_negative,The meeting is scheduled for three o'clock.,negative,neutral,117.02178042972943,16.91520441520351,63.72591333204771,0.6747362017631531,5.178418159484863,0.023269090801477432,1.141779899597168,0.1244305817605487,14.19083371148055,negative,-0.9999999997281053,0.4207760691642761,0.3406676948070526
e3a,e3a_speaker1_neutral_0_neutral,The meeting is scheduled for three o'clock.,neutral,neutral,111.39935682502266,20.784428430542512,157.01738303769307,0.4244263172149658,4.6351094245910645,0.02392725460231304,1.2330257892608643,0.08586703383181633,5.632419156774457,negative,-0.9999999981748906,0.3751075863838196,0.21115468442440033
e3a,e3a_speaker1_neutral_0_positive,The meeting is scheduled for three o'clock.,positive,neutral,150.81017651158822,45.44219559262213,160.79163688211355,0.7151349186897278,5.626554489135742,0.03462912142276764,1.1288502216339111,0.14237480155017626,13.81193286758211,positive,0.9227598793804646,0.43647265434265137,0.446433961391449
e3a,e3a_speaker1_neutral_1_negative,I need to pick up groceries later today.,negative,neutral,98.0798984255439,10.900775803749806,45.9507422279931,0.7245112657546997,3.853560209274292,0.020487140864133835,1.2398093938827515,0.13781135111353454,12.38533885513024,negative,-0.9999999597680542,0.33707311749458313,0.215570330619812
e3a,e3a_speaker1_neutral_1_neutral,I need to pick up groceries later today.,neutral,neutral,107.82157483183585,14.4629856305813,61.24840404544376,0.9609853625297546,4.43295955657959,0.019249189645051956,1.6205233335494995,0.17067916796019206,15.03264903462207,negative,-0.9998067403430468,0.444571316242218,0.35691744089126587
e3a,e3a_speaker1_neutral_1_positive,I need to pick up groceries later today.,positive,neutral,143.747085282746,53.630688225238615,195.61054617421738,0.6339218020439148,5.69038200378418,0.024898629635572433,0.9118661880493164,0.11300166504872083,10.871411584847971,positive,0.9054897502064705,0.49725341796875,0.49360978603363037
e3a,e3a_speaker1_neutral_2_negative,The report is due next Tuesday afternoon.,negative,neutral,104.06743124096297,12.45262770058327,52.95877717948281,0.5870957970619202,4.192106246948242,0.015290934592485428,1.0595483779907227,0.0947726766871384,8.435129227208435,negative,-0.9999967813491422,0.3777708411216736,0.2556026577949524
e3a,e3a_speaker1_neutral_2_neutral,The report is due next Tuesday afternoon.,neutral,neutral,119.03597898504893,38.9512133699795,298.5580449339077,0.7262986302375793,5.03395938873291,0.025080440565943718,1.2803553342819214,0.1407612080408281,9.731493843643376,negative,-0.9999999993663458,0.36491668224334717,0.24881984293460846
e3a,e3a_speaker1_neutral_2_positive,The report is due next Tuesday afternoon.,positive,neutral,144.79066890396962,42.12467597752073,151.67658632798418,0.9231967329978943,5.257979393005371,0.04390484839677811,1.5989110469818115,0.16527442970190287,11.676337617030365,negative,-0.9999999999999508,0.5048825144767761,0.5708716511726379
e3a,e3a_speaker1_negative_0_negative,"This is terrible, I can't believe it happened.",negative,negative,103.5378340681783,12.008531557409126,47.64124003935527,0.76606684923172,3.9190096855163574,0.026998253539204597,1.213915467262268,0.1335383235003927,14.680655842342523,negative,-0.9999999804114292,0.12738169729709625,0.3520733714103699
e3a,e3a_speaker1_negative_0_neutral,"This is terrible, I can't believe it happened.",neutral,negative,99.49793045251319,7.034885864781536,45.846801388053464,0.8020883798599243,3.7254555225372314,0.01995929516851902,1.4205485582351685,0.13809582096972198,14.154934994999614,neutral,0.037419953383505344,0.1082390695810318,0.2106340080499649
e3a,e3a_speaker1_negative_0_positive,"This is terrible, I can't believe it happened.",positive,negative,141.5068715721236,48.63329447117585,250.05028376164614,0.9956616759300232,5.3086676597595215,0.040126632899045944,1.2157039642333984,0.18012487399534,13.747758517632994,negative,-0.9999995074494308,0.2738833725452423,0.4709380865097046
