clip_id,path,speaker_id,source,text,text_sentiment,prosody_sentiment,emotion_tag,voice_id,is_congruent,split
e3a_speaker1_positive_0_negative,data/recorded0/e3_speaker1_positive_0_negative.wav,speaker1,recorded,I'm thrilled about the good news today.,positive,negative,,,False,
e3a_speaker1_positive_0_neutral,data/recorded0/e3_speaker1_positive_0_neutral.wav,speaker1,recorded,I'm thrilled about the good news today.,positive,neutral,,,False,
e3a_speaker1_positive_0_positive,data/recorded0/e3_speaker1_positive_0_positive.wav,speaker1,recorded,I'm thrilled about the good news today.,positive,positive,,,True,
e3a_speaker1_positive_1_negative,data/recorded0/e3_speaker1_positive_1_negative.wav,speaker1,recorded,This turned out to be the best day of my life.,positive,negative,,,False,
e3a_speaker1_positive_1_neutral,data/recorded0/e3_speaker1_positive_1_neutral.wav,speaker1,recorded,This turned out to be the best day of my life.,positive,neutral,,,False,
e3a_speaker1_positive_1_positive,data/recorded0/e3_speaker1_positive_1_positive.wav,speaker1,recorded,This turned out to be the best day of my life.,positive,positive,,,True,
e3a_speaker1_positive_2_negative,data/recorded0/e3_speaker1_positive_2_negative.wav,speaker1,recorded,I really appreciate everything you've done for me.,positive,negative,,,False,
e3a_speaker1_positive_2_neutral,data/recorded0/e3_speaker1_positive_2_neutral.wav,speaker1,recorded,I really appreciate everything you've done for me.,positive,neutral,,,False,
e3a_speaker1_positive_2_positive,data/recorded0/e3_speaker1_positive_2_positive.wav,speaker1,recorded,I really appreciate everything you've done for me.,positive,positive,,,True,
e3a_speaker1_neutral_0_negative,data/recorded0/e3_speaker1_neutral_0_negative.wav,speaker1,recorded,The meeting is scheduled for three o'clock.,neutral,negative,,,False,
e3a_speaker1_neutral_0_neutral,data/recorded0/e3_speaker1_neutral_0_neutral.wav,speaker1,recorded,The meeting is scheduled for three o'clock.,neutral,neutral,,,True,
e3a_speaker1_neutral_0_positive,data/recorded0/e3_speaker1_neutral_0_positive.wav,speaker1,recorded,The meeting is scheduled for three o'clock.,neutral,positive,,,False,
e3a_speaker1_neutral_1_negative,data/recorded0/e3_speaker1_neutral_1_negative.wav,speaker1,recorded,I need to pick up groceries later today.,neutral,negative,,,False,
e3a_speaker1_neutral_1_neutral,data/recorded0/e3_speaker1_neutral_1_neutral.wav,speaker1,recorded,I need to pick up groceries later today.,neutral,neutral,,,True,
e3a_speaker1_neutral_1_positive,data/recorded0/e3_speaker1_neutral_1_positive.wav,speaker1,recorded,I need to pick up groceries later today.,neutral,positive,,,False,
e3a_speaker1_neutral_2_negative,data/recorded0/e3_speaker1_neutral_2_negative.wav,speaker1,recorded,The report is due next Tuesday afternoon.,neutral,negative,,,False,
e3a_speaker1_neutral_2_neutral,data/recorded0/e3_speaker1_neutral_2_neutral.wav,speaker1,recorded,The report is due next Tuesday afternoon.,neutral,neutral,,,True,
e3a_speaker1_neutral_2_positive,data/recorded0/e3_speaker1_neutral_2_positive.wav,speaker1,recorded,The report is due next Tuesday afternoon.,neutral,positive,,,False,
e3a_speaker1_negative_0_negative,data/recorded0/e3_speaker1_negative_0_negative.wav,speaker1,recorded,"This is terrible, I can't believe it happened.",negative,negative,,,True,
e3a_speaker1_negative_0_neutral,data/recorded0/e3_speaker1_negative_0_neutral.wav,speaker1,recorded,"This is terrible, I can't believe it happened.",negative,neutral,,,False,
e3a_speaker1_negative_0_positive,data/recorded0/e3_speaker1_negative_0_positive.wav,speaker1,recorded,"This is terrible, I can't believe it happened.",negative,positive,,,False,
e3a_speaker1_negative_1_negative,data/recorded0/e3_speaker1_negative_1_negative.wav,speaker1,recorded,I'm so disappointed in how this went.,negative,negative,,,True,
e3a_speaker1_negative_1_neutral,data/recorded0/e3_speaker1_negative_1_neutral.wav,speaker1,recorded,I'm so disappointed in how this went.,negative,neutral,,,False,
e3a_speaker1_negative_1_positive,data/recorded0/e3_speaker1_negative_1_positive.wav,speaker1,recorded,I'm so disappointed in how this went.,negative,positive,,,False,
e3a_speaker1_negative_2_negative,data/recorded0/e3_speaker1_negative_2_negative.wav,speaker1,recorded,Everything about this situation is awful.,negative,negative,,,True,
e3a_speaker1_negative_2_neutral,data/recorded0/e3_speaker1_negative_2_neutral.wav,speaker1,recorded,Everything about this situation is awful.,negative,neutral,,,False,
e3a_speaker1_negative_2_positive,data/recorded0/e3_speaker1_negative_2_positive.wav,speaker1,recorded,Everything about this situation is awful.,negative,positive,,,False,
e3a_speaker1_whisper_0,data/recorded0/e3_speaker1_whisper_0.wav,speaker1,recorded,Can you hear me from over here?,neutral,neutral,,,True,
e3a_speaker1_whisper_1,data/recorded0/e3_speaker1_whisper_1.wav,speaker1,recorded,I don't want to wake anyone up.,neutral,neutral,,,True,
e3a_speaker1_whisper_2,data/recorded0/e3_speaker1_whisper_2.wav,speaker1,recorded,This is just between the two of us.,neutral,neutral,,,True,
