clip_id,path,speaker_id,source,text,text_sentiment,prosody_sentiment,emotion_tag,voice_id,is_congruent,split
e6_zurich_egi_4a3c20c6,data/zurich/e6_zurich_egi_4a3c20c6.wav,zurich_egi,recorded,Let me know when you are ready.,neutral,negative,,,False,val
e6_zurich_egi_89302068,data/zurich/e6_zurich_egi_89302068.wav,zurich_egi,recorded,I will be there in ten minutes.,neutral,positive,,,False,val
e6_zurich_egi_36c90a16,data/zurich/e6_zurich_egi_36c90a16.wav,zurich_egi,recorded,That worked out better than I hoped.,positive,negative,,,False,val
e6_zurich_egi_b69173aa,data/zurich/e6_zurich_egi_b69173aa.wav,zurich_egi,recorded,"Honestly, I expected more.",negative,positive,,,False,val
e6_zurich_egi_c2a847cd,data/zurich/e6_zurich_egi_c2a847cd.wav,zurich_egi,recorded,"Could you repeat that, please?",neutral,neutral,,,True,val
e6_zurich_egi_58505e6c,data/zurich/e6_zurich_egi_58505e6c.wav,zurich_egi,recorded,Nothing ever goes as planned.,negative,positive,,,False,val
e6_zurich_egi_2bd08ae7,data/zurich/e6_zurich_egi_2bd08ae7.wav,zurich_egi,recorded,Thanks for helping me.,positive,neutral,,,False,val
e6_zurich_egi_39390553,data/zurich/e6_zurich_egi_39390553.wav,zurich_egi,recorded,Do you mind if I ask something?,neutral,negative,,,False,val
e6_zurich_egi_999a0526,data/zurich/e6_zurich_egi_999a0526.wav,zurich_egi,recorded,I didn't expect that.,neutral,positive,,,False,val
e6_zurich_egi_73b9ca1d,data/zurich/e6_zurich_egi_73b9ca1d.wav,zurich_egi,recorded,Why did nobody tell me?,negative,negative,,,True,val
e6_zurich_egi_6dfc8162,data/zurich/e6_zurich_egi_6dfc8162.wav,zurich_egi,recorded,I am so glad you called.,positive,neutral,,,False,val
e6_zurich_egi_59be7957,data/zurich/e6_zurich_egi_59be7957.wav,zurich_egi,recorded,I have no idea what you mean.,negative,positive,,,False,val
e6_zurich_egi_d8e20c55,data/zurich/e6_zurich_egi_d8e20c55.wav,zurich_egi,recorded,I am not sure about this plan.,negative,neutral,,,False,val
e6_zurich_egi_936486a9,data/zurich/e6_zurich_egi_936486a9.wav,zurich_egi,recorded,Please send me the file again.,neutral,positive,,,False,val
e6_zurich_egi_7aab39c3,data/zurich/e6_zurich_egi_7aab39c3.wav,zurich_egi,recorded,"Okay, I'll do it.",neutral,neutral,,,True,val
e6_zurich_egi_293d6ce6,data/zurich/e6_zurich_egi_293d6ce6.wav,zurich_egi,recorded,That is completely unacceptable.,negative,positive,,,False,val
e6_zurich_egi_caafa91c,data/zurich/e6_zurich_egi_caafa91c.wav,zurich_egi,recorded,We need to talk about this.,neutral,negative,,,False,val
e6_zurich_egi_3145faa1,data/zurich/e6_zurich_egi_3145faa1.wav,zurich_egi,recorded,I finished everything on the list.,neutral,neutral,,,True,val
e6_zurich_egi_de1e90ba,data/zurich/e6_zurich_egi_de1e90ba.wav,zurich_egi,recorded,It looks like the meeting was moved.,neutral,positive,,,False,val
e6_zurich_egi_2ae155f8,data/zurich/e6_zurich_egi_2ae155f8.wav,zurich_egi,recorded,"That explains a lot, actually.",neutral,negative,,,False,val
e6_zurich_bonzus_74248348,data/zurich/e6_zurich_bonzus_74248348.wav,zurich_bonzus,recorded,I have no idea what you mean.,negative,positive,,,False,train
e6_zurich_bonzus_b957a46a,data/zurich/e6_zurich_bonzus_b957a46a.wav,zurich_bonzus,recorded,"Okay, I'll do it.",neutral,negative,,,False,train
e6_zurich_bonzus_b18db585,data/zurich/e6_zurich_bonzus_b18db585.wav,zurich_bonzus,recorded,I told you this would happen.,negative,positive,,,False,train
e6_zurich_bonzus_8a3a28b9,data/zurich/e6_zurich_bonzus_8a3a28b9.wav,zurich_bonzus,recorded,That is completely unacceptable.,negative,negative,,,True,train
e6_zurich_bonzus_a0f3c499,data/zurich/e6_zurich_bonzus_a0f3c499.wav,zurich_bonzus,recorded,Thanks for helping me.,positive,positive,,,True,train
