clip_id,path,speaker_id,source,text,text_sentiment,prosody_sentiment,emotion_tag,voice_id,is_congruent,split
e5_ava_song_positive0_positive,data/hume_e5/e5_ava_song_positive0_positive.wav,hume_ava_song,hume,I'm thrilled about the good news today.,positive,positive,,Ava Song,True,test
e5_ava_song_positive0_neutral,data/hume_e5/e5_ava_song_positive0_neutral.wav,hume_ava_song,hume,I'm thrilled about the good news today.,positive,neutral,,Ava Song,False,test
e5_ava_song_positive0_negative,data/hume_e5/e5_ava_song_positive0_negative.wav,hume_ava_song,hume,I'm thrilled about the good news today.,positive,negative,,Ava Song,False,test
e5_ava_song_positive1_positive,data/hume_e5/e5_ava_song_positive1_positive.wav,hume_ava_song,hume,This turned out to be the best day of my life.,positive,positive,,Ava Song,True,test
e5_ava_song_positive1_neutral,data/hume_e5/e5_ava_song_positive1_neutral.wav,hume_ava_song,hume,This turned out to be the best day of my life.,positive,neutral,,Ava Song,False,test
e5_ava_song_positive1_negative,data/hume_e5/e5_ava_song_positive1_negative.wav,hume_ava_song,hume,This turned out to be the best day of my life.,positive,negative,,Ava Song,False,test
e5_ava_song_positive2_positive,data/hume_e5/e5_ava_song_positive2_positive.wav,hume_ava_song,hume,I really appreciate everything you've done for me.,positive,positive,,Ava Song,True,test
e5_ava_song_positive2_neutral,data/hume_e5/e5_ava_song_positive2_neutral.wav,hume_ava_song,hume,I really appreciate everything you've done for me.,positive,neutral,,Ava Song,False,test
e5_ava_song_positive2_negative,data/hume_e5/e5_ava_song_positive2_negative.wav,hume_ava_song,hume,I really appreciate everything you've done for me.,positive,negative,,Ava Song,False,test
e5_ava_song_positive3_positive,data/hume_e5/e5_ava_song_positive3_positive.wav,hume_ava_song,hume,What a wonderful surprise this has been.,positive,positive,,Ava Song,True,test
e5_ava_song_positive3_neutral,data/hume_e5/e5_ava_song_positive3_neutral.wav,hume_ava_song,hume,What a wonderful surprise this has been.,positive,neutral,,Ava Song,False,test
e5_ava_song_positive3_negative,data/hume_e5/e5_ava_song_positive3_negative.wav,hume_ava_song,hume,What a wonderful surprise this has been.,positive,negative,,Ava Song,False,test
e5_ava_song_positive4_positive,data/hume_e5/e5_ava_song_positive4_positive.wav,hume_ava_song,hume,I'm so proud of how this all turned out.,positive,positive,,Ava Song,True,test
e5_ava_song_positive4_neutral,data/hume_e5/e5_ava_song_positive4_neutral.wav,hume_ava_song,hume,I'm so proud of how this all turned out.,positive,neutral,,Ava Song,False,test
e5_ava_song_positive4_negative,data/hume_e5/e5_ava_song_positive4_negative.wav,hume_ava_song,hume,I'm so proud of how this all turned out.,positive,negative,,Ava Song,False,test
e5_ava_song_neutral0_positive,data/hume_e5/e5_ava_song_neutral0_positive.wav,hume_ava_song,hume,The meeting is scheduled for three o'clock.,neutral,positive,,Ava Song,False,test
e5_ava_song_neutral0_neutral,data/hume_e5/e5_ava_song_neutral0_neutral.wav,hume_ava_song,hume,The meeting is scheduled for three o'clock.,neutral,neutral,,Ava Song,True,test
e5_ava_song_neutral0_negative,data/hume_e5/e5_ava_song_neutral0_negative.wav,hume_ava_song,hume,The meeting is scheduled for three o'clock.,neutral,negative,,Ava Song,False,test
e5_ava_song_neutral1_positive,data/hume_e5/e5_ava_song_neutral1_positive.wav,hume_ava_song,hume,I need to pick up groceries later today.,neutral,positive,,Ava Song,False,test
e5_ava_song_neutral1_neutral,data/hume_e5/e5_ava_song_neutral1_neutral.wav,hume_ava_song,hume,I need to pick up groceries later today.,neutral,neutral,,Ava Song,True,test
e5_ava_song_neutral1_negative,data/hume_e5/e5_ava_song_neutral1_negative.wav,hume_ava_song,hume,I need to pick up groceries later today.,neutral,negative,,Ava Song,False,test
e5_ava_song_neutral2_positive,data/hume_e5/e5_ava_song_neutral2_positive.wav,hume_ava_song,hume,The report is due next Tuesday afternoon.,neutral,positive,,Ava Song,False,test
e5_ava_song_neutral2_neutral,data/hume_e5/e5_ava_song_neutral2_neutral.wav,hume_ava_song,hume,The report is due next Tuesday afternoon.,neutral,neutral,,Ava Song,True,test
e5_ava_song_neutral2_negative,data/hume_e5/e5_ava_song_neutral2_negative.wav,hume_ava_song,hume,The report is due next Tuesday afternoon.,neutral,negative,,Ava Song,False,test
e5_ava_song_neutral3_positive,data/hume_e5/e5_ava_song_neutral3_positive.wav,hume_ava_song,hume,Please turn off the lights when you leave.,neutral,positive,,Ava Song,False,test
e5_ava_song_neutral3_neutral,data/hume_e5/e5_ava_song_neutral3_neutral.wav,hume_ava_song,hume,Please turn off the lights when you leave.,neutral,neutral,,Ava Song,True,test
e5_ava_song_neutral3_negative,data/hume_e5/e5_ava_song_neutral3_negative.wav,hume_ava_song,hume,Please turn off the lights when you leave.,neutral,negative,,Ava Song,False,test
e5_ava_song_neutral4_positive,data/hume_e5/e5_ava_song_neutral4_positive.wav,hume_ava_song,hume,The train departs from platform four.,neutral,positive,,Ava Song,False,test
e5_ava_song_neutral4_neutral,data/hume_e5/e5_ava_song_neutral4_neutral.wav,hume_ava_song,hume,The train departs from platform four.,neutral,neutral,,Ava Song,True,test
e5_ava_song_neutral4_negative,data/hume_e5/e5_ava_song_neutral4_negative.wav,hume_ava_song,hume,The train departs from platform four.,neutral,negative,,Ava Song,False,test
e5_ava_song_negative0_positive,data/hume_e5/e5_ava_song_negative0_positive.wav,hume_ava_song,hume,"This is terrible, I can't believe it happened.",negative,positive,,Ava Song,False,test
e5_ava_song_negative0_neutral,data/hume_e5/e5_ava_song_negative0_neutral.wav,hume_ava_song,hume,"This is terrible, I can't believe it happened.",negative,neutral,,Ava Song,False,test
e5_ava_song_negative0_negative,data/hume_e5/e5_ava_song_negative0_negative.wav,hume_ava_song,hume,"This is terrible, I can't believe it happened.",negative,negative,,Ava Song,True,test
e5_ava_song_negative1_positive,data/hume_e5/e5_ava_song_negative1_positive.wav,hume_ava_song,hume,I'm so disappointed in how this went.,negative,positive,,Ava Song,False,test
